"Edit","Next Sibling","⇧⌘↓","Editing in Structured Text Editors"
"Navigate","Next","⌘.","In Windows"
"Git","Copy Path to Clipboard","⌘C","In Git Repositories View"
"Terminal view commands","Terminal view insert","⌥P","Terminal widget context"
"Task","Mark Task Complete","⇧⌥C","In Tasks View"
"Edit","Matching Tag","⇧⌘>","Editing in Structured Text Editors"
"Run/Debug","Debug JUnit Test","⌃⌥⌘D T","In Windows"
"Edit","Update UML diagram","F5","In UML Diagram Editor"
"Run/Debug","Debug","⌘F11","In Windows"
"Edit","Duplicate","⇧⌘D","Diagram Editing"
"Edit","Toggle Block Selection","⌥⌘A","Editing Text"
"Text Editing","Duplicate Lines","⌥⌘↑","Editing Text"
"Papyrus Category","Align Bottom Command","⌃↓","Diagram Editing"
"Window","Activate Editor","⌘F12","In Windows"
"Project","Build All","⌘B","In Windows"
"Source","Show Source Quick Menu","⌥⌘S","JavaScript View"
"Refactor - JavaScript","Extract Local Variable","⌥⌘L","JavaScript View"
"Views","Show View ()","⌥⌘Q J","JavaScript View"
"Papyrus Category","Routing By Left Command","⇧⌃←","Diagram Editing"
"Views","Show View (Breakpoints)","⌥⌘Q B","In Windows"
"Task","Quick Outline","⌘O","In Tasks Editor"
"Search","Declaration in Workspace","⌘G","JavaScript View"
"Papyrus Category","Routing By Bottom Command","⇧⌃↓","Diagram Editing"
"Edit","Paste","⌘V","In Dialogs and Windows"
"Source","Format","⇧⌘F","Editing Ant Buildfiles"
"Terminal view commands","Terminal view insert","⌥R","Terminal widget context"
"Text Editing","Delete Next","⌃D","Editing Text"
"Text Editing","Next Column","⌃F","Editing Text"
"Source","Surround With Quick Menu","⌥⌘Z","JavaScript View"
"Spy","Plug-in Menu Spy","⇧⌥F2","In Dialogs and Windows"
"Window","Switch to Editor","⇧⌘E","In Windows"
"Edit","Find and Replace","⌘F","In Windows"
"Navigate","Open Type Hierarchy","F4","JavaScript View"
"Edit","Previous Sibling","⇧⌃↑","Editing in Structured Text Editors"
"Terminal view commands","Terminal view insert","⌥G","Terminal widget context"
"Manifest Editor Source","Format Source","⇧⌘F","PDE editor"
"Views","Show View ()","⌥⌘Q D","In Windows"
"Navigate","Collapse All","⇧⌘Numpad_Divide","In Windows"
"Navigate","Open Structure","⌘F3","Editing Java Source"
"Server","Publish","⌥⌘P","In Servers View"
"Source","Add Import","⇧⌘M","Editing Java Source"
"Navigate","Matching Bracket","⇧⌘P","Editing in Structured Text Editors"
"Terminal view commands","Terminal view insert","⌥F","Terminal widget context"
"Papyrus Category","PasteWithModel","⇧⌃V","In Windows"
"Edit","Update PapyrusUMLComponentDiagram diagram","F5","In PapyrusUMLComponentDiagram Diagram Editor"
"Source","Toggle Comment","⌘/","Editing Properties Files"
"Database Tools","Execute Selected Text As One Statement","⌥C","Editing SQL"
"Source","Go to Matching Bracket","⇧⌘P","Editing Xtext Source"
"Edit","Previous Sibling","⇧⌘↑","Editing in Structured Text Editors"
"Edit","Format Active Elements","⌘I","Editing in Structured Text Editors"
"Terminal view commands","Terminal view insert","⌥A","Terminal widget context"
"Edit","Quick Fix","⌘1","In Dialogs and Windows"
"Views","Show View (Variables)","⌥⌘Q V","In Windows"
"Text Editing","Expand","⌘Numpad_Add","Editing Text"
"Terminal view commands","Terminal view insert","⌥E","Terminal widget context"
"Text Editing","Line End","⌃E","Editing Text"
"Run/Debug","Run Eclipse Application","⌥⌘X E","In Windows"
"Source","Quick Assist - Assign to local variable","⌘2 L","Editing Java Source"
"Text Editing","Reset Structure","⇧⌘Numpad_Multiply","Editing Text"
"Papyrus Category","Create a new FlowPort_Out","⌃O","In Windows"
"Server","Debug","⌥⌘D","In Servers View"
"Refactor - Java","Extract Method","⌥⌘M","In Windows"
"Source","Toggle Comment","⌘/","Editing JavaScript Source"
"Window","Next Perspective","⌘F8","In Windows"
"EMF Code Generation","Generate Code","⇧⌥G","In Windows"
"Edit","Move","⇧⌥V","Editing JSP Source"
"Task","New Local Task","Insert","In Tasks View"
"Run/Debug","Toggle Memory Monitors Pane","⌘T","In Memory View"
"Window","Previous Editor","⇧⌘F6","In Windows"
"Source","Toggle Comment","⇧⌘C","Editing Xtext Source"
"Navigate","Open Type Hierarchy","F4","In Windows"
"Window","Show System Menu","⇧⌘F10","In Windows"
"Navigate","Forward History","⌥⌘→","In Windows"
"Navigate","Quick Outline","⌘O","WikiText Markup Source Context"
"Uncategorized","selectSa&meType","⌃⌥A","Diagram Editing"
"Source","Toggle Comment","⌘/","Editing Java Source"
"Edit","Select All","⌘A","In Dialogs and Windows"
"Edit","Remove Block Comment","⌘\","Editing in Structured Text Editors"
"Run/Debug","Next Memory Monitor","⌥⌘N","In Memory View"
"Papyrus Category","Command to Zoom Out","⌃-","Diagram Editing"
"Text Editing","Move Lines Down","⌥↓","Editing Text"
"Papyrus Category","Command to Zoom In","⌃=","Diagram Editing"
