"Window","Previous Perspective","⇧⌘F8","In Windows"
"Text Editing","Select Text End","⇧↘","Editing Text"
"Edit","Redo","⇧⌘Z","In Dialogs and Windows"
"Run/Debug","Use Step Filters","⇧F5","In Windows"
"Text Editing","Delete Next Word","⌥⌦","Editing Text"
"Papyrus Category","Align Top Command","⌃↑","Diagram Editing"
"Navigate","Previous Sub-Tab","⌥⇞","In Dialogs and Windows"
"Navigate","Open Resource","⇧⌘R","In Windows"
"Server","Debug","⌥⌘D","In Servers View"
"Focused UI","Show Context Quick View","⇧⌥⌘→","In Windows"
"Window","Open Model Element","⇧⌘F3","In Windows"
"Navigate","Previous Page","⇧⌘F5","In Faces Config Editor"
"Window","Show Contributing Plug-in","⇧⌥F3","In Dialogs and Windows"
"Navigate","Previous","⇧⌘.","In Windows"
"Navigate","Go to Matching Bracket","⇧⌘P","Editing JavaScript Source"
"Edit","Update PapyrusUMLStateMachineDiagram diagram","F5","In PapyrusUMLStateMachineDiagram Diagram Editor"
"WikiText Markup Editing Commands","Display Cheat Sheet","F1","WikiText Markup Source Context"
"Server","Stop","⌥⌘S","In Servers View"
"File","Save","⌘S","In Windows"
"Web Page Editor Layout","Graphical Designer","⇧⌘F11","Using Web Page Editor"
"Text Editing","Insert Line Below Current Line","⇧↩","Editing Text"
"Terminal view commands","Terminal view insert","⌥V","Terminal widget context"
"Source","Add Import","⇧⌘M","Editing JavaScript Source"
"Server","Run","⌥⌘R","In Servers View"
"Window","Next Editor","⌘F6","In Windows"
"Source","Toggle Comment","⌘/","Editing Xtext Source"
"Text Editing","Expand","⌘Numpad_Add","Editing Text"
"Text Editing","Line Up","⌃P","Editing Text"
"Edit","Select Next Element","⇧⌃→","Editing in Structured Text Editors"
"Source","Toggle Comment","⌘7","Editing Java Source"
"Source","Organize Imports","⇧⌘O","JavaScript View"
"Search","Open Search Dialog","⌃H","In Windows"
"Edit","Find Next","⌘K","Editing Text"
"Run/Debug","Terminate","⌘F2","Debugging"
"Navigate","Open Type in Hierarchy","⇧⌘H","In Windows"
"Task","New Local Task","Insert","In Tasks View"
"Text Editing","Line Down","⌃N","Editing Text"
"Task","New Subtask","⇧Insert","In Tasks View"
"Source","Show Source Quick Menu","⌥⌘S","In Windows"
"Refactor - Java","Inline","⌥⌘I","In Windows"
"Source","Toggle Comment","⇧⌘C","Editing Xtext Source"
"Papyrus Category","Routing By Left Command","⇧⌃←","Diagram Editing"
"Search","Show Occurrences in File Quick Menu","⇧⌘U","In Windows"
"Navigate","Open Type Hierarchy","F4","JavaScript View"
"Edit","Restore Last Selection","⇧⌃↓","Editing Java Source"
"Navigate","Backward History","⌥⌘←","In Windows"
"View","Zoom In","⌘=","In Windows"
"JavaScript Debug","Evaluate","⇧⌥E","Editing JavaScript Source"
"Edit","Incremental Find","⌘J","Editing Text"
"Edit","Quick Fix","⌘1","In Dialogs and Windows"
"Papyrus Category","Align Left Command","⌃←","Diagram Editing"
"Text Editing","Copy Lines","⌥⌘↓","Editing Text"
"Edit","Remove Block Comment","⌘\","Editing in Structured Text Editors"
"SQL Results View","Remove All Visible Results","⇧⌦","In Windows"
"Server","Publish","⌥⌘P","In Servers View"
"Edit","Select Previous Element","⇧⌃←","Editing JavaScript Source"
"Run/Debug","Debug JUnit Plug-in Test","⌃⌥⌘D P","In Windows"
"Run/Debug","Run JUnit Plug-in Test","⌥⌘X P","In Windows"
"Edit","Move","⇧⌥V","Editing JSP Source"
"Edit","Incremental Find Reverse","⇧⌘J","Editing Text"
"Source","Toggle Comment","⌘/","Editing JavaScript Source"
"Uncategorized","Rename Element","⌥⌘R","Editing Xtext Source"
"Edit","Format Active Elements","⌘I","Editing in Structured Text Editors"
"Project","Build All","⌘B","In Windows"
"Search","Declaration in Workspace","⌘G","In Windows"
"Window","Quick Switch Editor","⌘E","In Windows"
"Papyrus Category","Align Right Command","⌃→","Diagram Editing"
"Navigate","Go To Previous Unread Task","⌥↑","In Tasks View"
"Source","Format","⇧⌘F","Editing JavaScript Source"
"Database Tools","Execute Selected Text","⌥X","Editing SQL"
"Text Editing","Expand All","⌘Numpad_Multiply","Editing Text"
"Edit","Add Block Comment","⇧⌘/","Editing in Structured Text Editors"
"Source","Open External Documentation","⇧F2","Editing Ant Buildfiles"
"JavaScript Debug","Open Source","⇧⌘3","Debugging"
"Navigate","Backward History","⌘[","In Windows"
"Source","Add JSDoc Comment","⌥⌘J","JavaScript View"
"Text Editing","Collapse","⌘Numpad_Subtract","Editing Text"
"Terminal view commands","Terminal view insert","⌥H","Terminal widget context"
"Source","Toggle Comment","⇧⌘C","Editing JavaScript Source"
"Source","Toggle Comment","⌘/","Editing Properties Files"
"Refactor - Java","Extract Method","⌥⌘M","In Windows"
"Edit","Update SysML diagram","F5","In SysML Diagram Editor"
"Uncategorized","Open Declaration","F3","Editing Xtext Source"
"Papyrus Category","Command to Zoom Out","⌃-","Diagram Editing"
"Run/Debug","Step Return","F7","Debugging"
"Views","Show View (Declaration)","⌥⌘Q D","JavaScript View"
"Uncategorized","Quick Outline","⌘O","Editing Xtext Source"
"ASA 9.x table schema editor","Copy","⌥C","In Windows"
"Run/Debug","Previous Page of Memory","⇧⌘,","In Table Memory Rendering"
"Navigate","Forward History","⌥⌘→","In Windows"
"Text Editing","Delete Previous","⌃H","Editing Text"
"Run/Debug","Run","⇧⌘F11","In Windows"
"Text Editing","Duplicate Lines","⌥⌘↑","Editing Text"
"Papyrus Category","Routing By Top Command","⇧⌃↑","Diagram Editing"
"Source","Quick Assist - Assign to local variable","⌘2 L","Editing JavaScript Source"
"Window","Maximize Active View or Editor","⌃M","In Windows"
"Edit","Undo","⌘Z","In Dialogs and Windows"
"Views","Show View (Cheat Sheets)","⌥⌘Q H","In Windows"
"Views","Show View (Package Explorer)","⌥⌘Q P","In Windows"
"Navigate","Activate Task","⌘F9","In Windows"
"Run/Debug","Toggle Memory Monitors Pane","⌘T","In Memory View"
"Run/Debug","Close Rendering","⌘W","In Memory View"
"Edit","Select All","⌘A","In Dialogs and Windows"
"Task Editor","Submit Task","⇧⌥S","In Tasks Editor"
"Source","Remove Block Comment","⇧⌘\","Editing Java Source"
"Text Editing","Toggle Overwrite","Insert","Editing Text"
"Text Editing","Show Tooltip Description","F2","Editing Text"
"Edit","Format","⇧⌘F","Editing in Structured Text Editors"
"Run/Debug","New Rendering","⌘N","In Memory View"
"Text Editing","Scroll Line Down","⌃↓","Editing Text"
"Source","Go to Matching Bracket","⇧⌘P","Editing Xtext Source"
"Window","Previous Editor","⇧⌘F6","In Windows"
"Run/Debug","Debug on Server","⇧⌥D R","In Windows"
"Navigate","Search Repository for Task","⇧⌘F12","In Windows"
"Navigate","Open Type","⇧⌘T","Editing JavaScript Source"
"Search","Show Occurrences in File Quick Menu","⇧⌘U","JavaScript View"
"Edit","Update UML diagram","F5","In UML Diagram Editor"
"Source","Surround With Quick Menu","⌥⌘Z","JavaScript View"
"Window","Switch to Editor","⇧⌘E","In Windows"
"Git","Commit","⌘#","In Windows"
"Views","Show View (Problems)","⌥⌘Q X","In Windows"
"Source","Quick Assist - Rename in file","⌘2 R","Editing JavaScript Source"
"Terminal view commands","Terminal view insert","⌥F","Terminal widget context"
"Text Editing","Reset Structure","⇧⌘Numpad_Multiply","Editing Text"
"Git","Paste Repository Path or URI","⌘V","In Git Repositories View"
"Database Tools","Execute All","⌥⌘X","Editing SQL"
"Run/Debug","Run to Line","⌘R","Debugging"
"Task","Mark Task Incomplete","⇧⌥I","In Tasks Editor"
"Edit","Toggle Block Selection","⌥⌘A","Editing Text"
"EMF Code Generation","Generate Code","⇧⌥G","In Windows"
"Edit","Add Maven Plugin","⇧⌃P","Editing XML Source"
"Run/Debug","Go to Address","⌘G","In Table Memory Rendering"
"Navigate","Open Attached Javadoc","⇧F2","In Windows"
"Navigate","Show In Breadcrumb","⌥⌘B","Editor Breadcrumb Navigation"
"Navigate","Expand All","⇧⌘Numpad_Multiply","In Windows"
"Database Tools","Execute Current Text","⌥S","Editing SQL"
"Task","Mark Task Read","⇧⌥R","In Tasks Editor"
"Navigate","Go to Previous Member","⌃⌥↑","Editing Java Source"
"Edit","Select Previous Element","⇧⌃←","Editing in Structured Text Editors"
"File","Properties","⌥↩","In Windows"
"Edit","Occurrences in File","⇧⌘A","Editing in Structured Text Editors"
"Task","Mark Task Unread","⇧⌥U","In Tasks Editor"
"Views","Show View ()","⌥⌘Q D","In Windows"
"Run/Debug","Toggle Breakpoint","⇧⌘B","In Windows"
"Run/Debug","Inspect","⇧⌘I","In Dialogs and Windows"
"Edit","Update UML diagram","F5","In UML Diagram Editor"
"Edit","Delete","⌃⌦","Diagram Editing"
"ASA 9.x table schema editor","Paste","⌥V","In Windows"
"Navigate","Open Declaration","F3","In Windows"
"Text Editing","Select Line Start","⇧⌘←","Editing Text"
"Edit","Restore Last Selection","⇧⌃↓","Editing JavaScript Source"
"Views","Show View (Task List)","⌥⌘Q K","In Windows"
"Navigate","Open External JSDoc","⇧F2","JavaScript View"
"Navigate","Open Structure","⌘F3","Editing Java Source"
"Edit","Update UML diagram","F5","In UML Diagram Editor"
"Navigate","Quick Outline","⇧⌘O","Task Markup Editor Source Context"
"SQL Results View","Terminate Result","⌘Break","In Windows"
"File","Properties","⌘I","In Windows"
"Text Editing","Text End","⌘↘","Editing Text"
"Database Tools","Goto Matching Token","⇧⌘P","Editing SQL"
"Web Page Editor Layout","Horizontal Layout","⇧⌘F10","Using Web Page Editor"
"Manifest Editor Source","Format Source","⇧⌘F","PDE editor"
"Task","Mark Task Incomplete","⇧⌥I","In Tasks View"
"Source","Correct Indentation","⌘I","Editing Java Source"
"Window","Show Key Assist","⇧⌘L","In Dialogs and Windows"
"Papyrus Category","Show/Hide Compartments Command","⌃F5","Diagram Editing"
"Edit","Select Next Element","⇧⌃→","Editing Java Source"
"Database Tools","Execute Selected Text As One Statement","⌥C","Editing SQL"
"Navigate","Next Page","⌥F7","In Windows"
"Source","Toggle Mark Occurrences","⌥⌘O","Editing JavaScript Source"
"Edit","Quick Diff Toggle","⇧⌃Q","Editing Text"
"Navigate","Go to Line","⌘L","Editing Text"
"Source","Toggle Comment","⌘7","Editing Properties Files"
"Source","Surround With Quick Menu","⌥⌘Z","In Windows"
"Source","Toggle Comment","⇧⌘C","Editing Java Source"
"Run/Debug","Run Java Application","⌥⌘X J","In Windows"
"Navigate","Open Type","⇧⌘T","In Windows"
"Edit","Context Information","⇧⌃Space","In Dialogs and Windows"
"Run/Debug","Display","⇧⌘D","In Dialogs and Windows"
"Database Tools","Edit in SQL Query Builder...","⌥Q","Editing SQL"
"Task","New Subtask","⇧⌥N","In Tasks View"
"Uncategorized","Find References","⇧⌘G","Editing Xtext Source"
"Navigate","Go to Next Member","⌃⌥↓","Editing JavaScript Source"
"Run/Debug","Debug Eclipse Application","⌃⌥⌘D E","In Windows"
"Edit","Update PapyrusUMLDeploymentDiagram diagram","F5","In PapyrusUMLDeploymentDiagram Diagram Editor"
"Text Editing","Line End","⌃E","Editing Text"
"Navigate","Go to Matching Bracket","⇧⌘P","Editing Java Source"
"Views","Show View (Variables)","⌥⌘Q V","In Windows"
"Edit","Word Completion","⌃.","Editing Text"
"Window","Previous View","⇧⌘F7","In Windows"
"Text Editing","Next Word","⌥→","Editing Text"
"Views","Show View ()","⌥⌘Q J","JavaScript View"
"Edit","Select Enclosing Element","⇧⌥↑","Editing in Structured Text Editors"
"Views","Show View (Search)","⌥⌘Q S","In Windows"
"Views","Show View (Console)","⌥⌘Q C","In Windows"
"Task","Mark Task Unread","⇧⌥U","In Tasks View"
"Window","Quick Access","⌘3","In Windows"
"Run/Debug","Debug OSGi Framework","⌃⌥⌘D O","In Windows"
"Navigate","Quick Outline","⌘O","WikiText Markup Source Context"
"Navigate","Open Structure","⌘F3","Editing JavaScript Source"
"Navigate","Last Edit Location","⌃Q","In Windows"
"Navigate","Quick Outline","⌘O","Editing Java Source"
"Refactor - Java","Show Refactor Quick Menu","⌥⌘T","In Windows"
"Refactor - JavaScript","Move - Refactoring ","⌥⌘V","JavaScript View"
"Views","Show View (Javadoc)","⌥⌘Q J","In Windows"
"Text Editing","Select Previous Word","⇧⌥←","Editing Text"
"Run/Debug","Step Into Selection","⌥F5","Debugging"
"Source","Toggle Ant Mark Occurrences","⌥⌘O","Editing Ant Buildfiles"
"Source","Format","⇧⌘F","Editing Xtext Source"
"Refactor - JavaScript","Inline","⌥⌘I","JavaScript View"
"Views","Show View (History)","⌥⌘Q Z","In Windows"
"Navigate","Quick Outline","⌘O","PDE editor"
"Papyrus Category","Create a new FlowPort_In","⌃I","In Windows"
"Papyrus Category","Create a new FlowPort_Out","⌃O","In Windows"
"File","Refresh","F5","In Windows"
"Refactor - JavaScript","Rename - Refactoring ","⌥⌘R","JavaScript View"
"Run/Debug","Next Memory Monitor","⌥⌘N","In Memory View"
"Refactor - JavaScript","Change Function Signature","⌥⌘C","JavaScript View"
"Run/Debug","Debug Java Application","⌃⌥⌘D J","In Windows"
"Source","Add Import","⇧⌘M","Editing Java Source"
"Text Editing","Select Next Word","⇧⌥→","Editing Text"
"Navigate","Next Sub-Tab","⌥⇟","In Dialogs and Windows"
"Text Editing","Collapse All","⇧⌘Numpad_Divide","Editing Text"
"Run/Debug","Debug Java Applet","⌃⌥⌘D A","In Windows"
"View","Zoom Out","⌘-","In Windows"
"Run/Debug","Run JUnit Test","⌥⌘X T","In Windows"
"Views","Show View (Error Log)","⌥⌘Q L","In Windows"
"Edit","Matching Tag","⇧⌃.","Editing in Structured Text Editors"
"Source","Show Source Quick Menu","⌥⌘S","JavaScript View"
"Edit","Update CompositeStructure diagram","F5","In CompositeStructure Diagram Editor"
"Navigate","Go to Next Member","⌃⌥↓","Editing Java Source"
"Papyrus Category","Align Bottom Command","⌃↓","Diagram Editing"
"Run/Debug","Run Java Applet","⌥⌘X A","In Windows"
"Edit","Add Maven Dependency","⇧⌃D","Editing XML Source"
"Edit","Cut","⌘X","In Dialogs and Windows"
"Run/Debug","Run Maven Build","⇧⌥X M","In Windows"
"Window","Next Perspective","⌘F8","In Windows"
"Database Tools","Debug","⌥⌘D","Editing SQL"
"Edit","Find Previous","⇧⌘K","Editing Text"
"File","Rename","F2","In Windows"
"Navigate","Open Type Hierarchy","F4","In Windows"
"Terminal view commands","Terminal view insert","⌥P","Terminal widget context"
"Refactor - Java","Change Method Signature","⌥⌘C","In Windows"
"Navigate","Go To Next Unread Task","⌥↓","In Tasks View"
"Edit","Next Sibling","⇧⌃↓","Editing in Structured Text Editors"
"Text Editing","Join Lines","⌃J","Editing Text"
"Edit","Select Next Element","⇧⌃→","Editing JavaScript Source"
"Source","Toggle Mark Occurrences","⌥⌘O","Editing Java Source"
"Task","Quick Outline","⌘O","In Tasks Editor"
"Text Editing","Toggle Folding","⌘Numpad_Divide","Editing Text"
"Edit","Toggle Comment","⇧⌘C","Editing in Structured Text Editors"
"Navigate","Open Call Hierarchy","⌃⌥H","In Windows"
"Source","Toggle Comment","⌘7","Editing Xtext Source"
"Navigate","Show In...","⌥⌘W","In Windows"
"Navigate","Quick Outline","⌘O","Editing in Structured Text Editors"
"Run/Debug","Run OSGi Framework","⌥⌘X O","In Windows"
"Edit","Toggle Comment","⌘/","Editing SQL"
"Text Editing","Line Start","⌃A","Editing Text"
"Navigate","Open Type in Hierarchy","⇧⌘H","JavaScript View"
"Refactor - Java","Extract Local Variable","⌥⌘L","In Windows"
"Navigate","Go to Previous Member","⌃⌥↑","Editing JavaScript Source"
"Task","Show Tooltip Description","F4","In Tasks View"
"Edit","Restore Last Selection","⇧⌥↓","Editing in Structured Text Editors"
"File","Save All","⇧⌘S","In Windows"
"Edit","Remove Block Comment","⇧⌘\","Editing in Structured Text Editors"
"Window","Show View Menu","⌘F10","In Dialogs and Windows"
"Edit","Matching Tag","⇧⌘>","Editing in Structured Text Editors"
"Source","Remove Occurrence Annotations","⌥⌘U","Editing Java Source"
"Source","Indent Line","⌘I","Editing JavaScript Source"
"Papyrus Category","Show/Hide Contents Command","F4","Diagram Editing"
"Source","Toggle Comment","⌘7","Editing JavaScript Source"
"Refactor - JavaScript","Show Refactor Quick Menu","⌥⌘T","JavaScript View"
"Text Editing","Move Lines Down","⌥↓","Editing Text"
"Task","Mark Task Read and Go To Previous Unread Task","⇧⌥↑","In Tasks View"
"Source","Add Javadoc Comment","⌥⌘J","In Windows"
"Views","Show View (Breakpoints)","⌥⌘Q B","In Windows"
"Text Editing","Move Lines Up","⌥↑","Editing Text"
"Run/Debug","Debug","⌘F11","In Windows"
"Edit","Add Block Comment","⌘/","Editing in Structured Text Editors"
"Refactor - Java","Rename - Refactoring ","⌥⌘R","In Windows"
"Navigate","Next","⌘.","In Windows"
"Papyrus Category","PasteWithModel","⇧⌃V","In Windows"
"Focused UI","Make Less Interesting","⇧⌥⌘↓","In Windows"
"Run/Debug","Debug Ant Build","⌃⌥⌘D Q","In Windows"
"SQL Results View","Remove Result","⌘⌦","In Windows"
"Navigate","Quick Hierarchy","⌘T","Editing Java Source"
"Navigate","Show In Breadcrumb","⌥⌘B","Editing Java Source"
"Edit","Update PapyrusUMLComponentDiagram diagram","F5","In PapyrusUMLComponentDiagram Diagram Editor"
